"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 18 11:44:23 IST 2025","Fri Jul 18 11:44:58 IST 2025","34773","","Searching for Airport Cab details in EaseMyTrip Website","","Cab booking with Excel data for Airport Pickup and Drop","","Cab booking with Excel data for Airport Pickup and Drop",""
"passed","Fri Jul 18 11:46:48 IST 2025","Fri Jul 18 11:47:37 IST 2025","48053","","Search Activities on EaseMyTrip","","Selecting city, date and filtering day trips","","Selecting city, date and filtering day trips",""
"passed","Fri Jul 18 11:50:08 IST 2025","Fri Jul 18 11:50:58 IST 2025","49501","","Searching for Giftards details on EaseMyTrip","","validating the giftcards by giving Email and Mobile Number","","validating the giftcards by giving Email and Mobile Number",""
"passed","Fri Jul 18 11:48:29 IST 2025","Fri Jul 18 11:49:19 IST 2025","49767","","Searching for Giftards details on EaseMyTrip","","validating the giftcards by giving Email and Mobile Number","","validating the giftcards by giving Email and Mobile Number",""
"passed","Fri Jul 18 11:44:58 IST 2025","Fri Jul 18 11:45:33 IST 2025","35926","","Searching for Outstation Cab details on EaseMyTrip","","Book Outstation with one-way trip","","Book Outstation with one-way trip",""
"passed","Fri Jul 18 11:45:33 IST 2025","Fri Jul 18 11:46:14 IST 2025","40160","","Searching for Outstation Cab details on EaseMyTrip","","Book Outstation for round-way trip","","Book Outstation for round-way trip",""
"passed","Fri Jul 18 11:49:19 IST 2025","Fri Jul 18 11:50:08 IST 2025","49319","","Searching for Giftards details on EaseMyTrip","","validating the giftcards by giving Email and Mobile Number","","validating the giftcards by giving Email and Mobile Number",""
"passed","Fri Jul 18 11:43:44 IST 2025","Fri Jul 18 11:44:23 IST 2025","38970","","Searching for Airport Cab details in EaseMyTrip Website","","Cab booking with Excel data for Airport Pickup and Drop","","Cab booking with Excel data for Airport Pickup and Drop",""
"passed","Fri Jul 18 11:47:37 IST 2025","Fri Jul 18 11:48:29 IST 2025","52642","","Searching for Hotel details on EaseMyTrip","","Fetching the hotels available for filterd options","","Fetching the hotels available for filterd options",""
"passed","Fri Jul 18 11:46:14 IST 2025","Fri Jul 18 11:46:48 IST 2025","34803","","Searching for Hourly Cab details on EaseMyTrip","","Book hourly rental with time, date and SUV filter","","Book hourly rental with time, date and SUV filter",""
